"event_id","route","R0","k","outcome","chain_size","hub_infections","generations","peak_infected","at_hub","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells","mortality_sub_pandemic","pandora_handoff"
297,"nonspatial_sub",0.0788168443400479,1.65337861437362,"extinct",1,0,1,1,FALSE,1.70833333333336,32.7916666666666,9,46.25,173.779998779297,50,13,0.01,FALSE
298,"single_case",0,0.831926104550567,"single_case",1,0,0,1,FALSE,3.62500000000003,34.1249999999999,3,29.1984015963437,71.2300033569336,32,6,0.01,FALSE
299,"single_case",0,0.54388697490471,"single_case",1,0,0,1,TRUE,1.04166666666669,34.1249999999999,16,0,12.039999961853,NA,NA,0.01,FALSE
300,"single_case",0,1.61099093215416,"single_case",1,0,0,1,TRUE,0.541666666666695,34.0416666666666,16,0,16.9699993133545,NA,NA,0.01,FALSE
301,"single_case",0,1.09636719776548,"single_case",1,0,0,1,FALSE,2.29166666666669,31.2916666666666,10,27.7278061460304,124.319999694824,27,1,0.01,FALSE
302,"single_case",0,0.930357438871355,"single_case",1,0,0,1,FALSE,2.37500000000003,33.2083333333333,9,27.7261629356388,74.120002746582,45,15,0.01,FALSE
303,"single_case",0,0.573294612484802,"single_case",1,0,0,1,FALSE,2.54166666666669,34.6249999999999,12,59.1933772218821,96.9100036621094,47,5,0.01,FALSE
304,"single_case",0,0.550121784822184,"single_case",1,0,0,1,FALSE,1.62500000000003,32.9583333333333,9,55.5,162.039993286133,49,13,0.01,FALSE
305,"nonspatial_sub",0.621607999705924,1.15194594413975,"extinct",1,0,1,1,FALSE,1.79166666666669,33.7916666666666,11,9.24547784430834,55.1100006103516,43,25,0.01,FALSE
306,"nonspatial_sub",0.417519327713408,0.989306415782116,"extinct",1,0,1,1,FALSE,3.62500000000003,34.0416666666666,3,20.650528976613,53.3699989318848,28,6,0.01,FALSE
307,"single_case",0,0.129792307790042,"single_case",1,0,0,1,FALSE,0.625000000000028,30.5416666666666,20,20.6826443397366,53.4500007629395,29,8,0.01,FALSE
308,"single_case",0,2.04815107885113,"single_case",1,0,0,1,FALSE,1.20833333333336,32.5416666666666,16,64.75,149.889999389648,80,29,0.01,FALSE
309,"single_case",0,0.33148338477784,"single_case",1,0,0,1,TRUE,1.04166666666669,34.3749999999999,16,0,16.7700004577637,NA,NA,0.01,FALSE
310,"single_case",0,0.909323821056333,"single_case",1,0,0,1,FALSE,-0.541666666666639,30.9583333333333,27,27.748759922826,71.0899963378906,42,11,0.01,FALSE
311,"single_case",0,2.45595262039832,"single_case",1,0,0,1,FALSE,1.12500000000003,30.2916666666666,20,46.25,172.960006713867,41,8,0.01,FALSE
